rien,nothing
cours,course
rester,stay
roue,wheel
plein,full
force,force
bleu,blue
objet,object
décider,decide
surface,surface
profond,deep
lune,moon
île,island
pied,foot
système,system
occupé,busy
test,test
record,record
bateau,boat
commun,common
or,gold
possible,possible
plan,plan
place,"space, room"
sec,dry
se demander,wonder
rire,laugh
mille,thousand
vérifier,check
jeu,game
assimiler,assimilate
manquer,miss
apporté,brought
chaleur,heat
neige,snow
pneu,tire
apporter,bring
lointain,distant
remplir,fill
peindre,paint
langue,"language, tongue"
unité,unit
certain,certain
voler,fly
tomber,fall
conduire,lead
cri,cry
sombre,dark
machine,machine
note,note
patienter,wait
figure,figure
étoile,star
domaine,field
se reposer,rest
correct,correct
capable,able
terminé,done
beauté,beauty
entraînement,training
résisté,stood up
contenir,contain
enseigner,teach
semaine,week
finale,final
donné,gave
vert,green
oh,oh
rapide,"quick, fast"
développer,develop
océan,ocean
gratuit,free
minute,minute
fort,strong
spécial,special
