cheval,horse
couper,cut
sûr,sure
couleur,color
face,face
bois,wood
principal,main
ouvert,open
paraître,seem
suivant,next
blanc,white
enfants,children
commencer,begin
marcher,walk
exemple,example
facilité,ease
papier,paper
groupe,group
toujours,always
musique,music
ceux,those
marque,mark
souvent,often
lettre,letter
mile,mile
rivière,river
voiture,car
pieds,feet
soins,care
deuxième,second
assez,enough
plaine,plain
fille,girl
habituel,usual
jeune,young
prêt,ready
au-dessus,above
rouge,red
liste,list
sentir,feel
parler,"talk, speak"
oiseau,bird
bientôt,soon
corps,body
chien,dog
famille,family
direct,direct
pose,pose
chanson,song
mesurer,measure
porte,door
produit,product
noir,black
court,short
chiffre,numeral
classe,class
vent,wind
question,"question, matter"
arriver,happen
complète,complete
navire,ship
zone,area
moitié,half
rock,rock
ordre,order
feu,fire
sud,south
problème,problem
pièce,piece
dit,"told, said"
savait,knew
passer,pass
depuis,since
haut,"top, high"
roi,king
rue,street
pouce,inch
multiplier,multiply
