gentil,kind,adjectives,
méchant,mean,adjectives,
intelligent,intelligent,adjectives,
stupide,stupid,adjectives,
timide,shy,adjectives,
courageux,brave,adjectives,
paresseux,lazy,adjectives,
travailleur,hardworking,adjectives,
drôle,funny,adjectives,
sérieux,serious,adjectives,
sympa,nice,adjectives,
aimable,friendly,adjectives,
poli,polite,adjectives,
impoli,rude,adjectives,
honnête,honest,adjectives,
généreux,generous,adjectives,
égoïste,selfish,adjectives,
patient,patient,adjectives,
impatient,impatient,adjectives,
curieux,curious,adjectives,
nouveau,new,adjectives,
ancien,old|former,adjectives,
cher,expensive,adjectives,
bon marché,cheap,adjectives,
facile,easy,adjectives,
difficile,difficult,adjectives,
rapide,fast,adjectives,
lent,slow,adjectives,
propre,clean,adjectives,
sale,dirty,adjectives,
chaud,hot,adjectives,
froid,cold,adjectives,
fort,strong,adjectives,
faible,weak,adjectives,
lourd,heavy,adjectives,
léger,light,adjectives,
plein,full,adjectives,
vide,empty,adjectives,
ouvert,open,adjectives,
fermé,closed,adjectives,
important,important,adjectives,
intéressant,interesting,adjectives,
ennuyeux,boring,adjectives,
dangereux,dangerous,adjectives,
sûr,safe,adjectives,
utile,useful,adjectives,
inutile,useless,adjectives,
possible,possible,adjectives,
impossible,impossible,adjectives,
nécessaire,necessary,adjectives,
la joie,joy,emotions,
la tristesse,sadness,emotions,
la colère,anger,emotions,
la peur,fear,emotions,
la surprise,surprise,emotions,
le dégoût,disgust,emotions,
content,satisfied,emotions,
joyeux,joyful,emotions,
heureux,happy,emotions,
ému,moved|touched,emotions,
touché,touched,emotions,
amoureux,in love,emotions,
fâché,angry,emotions,
énervé,irritated|angry,emotions,
vexé,offended,emotions,
frustré,frustrated,emotions,
inquiet,worried,emotions,
anxieux,anxious,emotions,
stressé,stressed,emotions,
déprimé,depressed,emotions,
déçu,disappointed,emotions,
étonné,surprised|astonished,emotions,
choqué,shocked,emotions,
impressionné,impressed,emotions,
mal à l'aise,uncomfortable,emotions,
dégoûté,disgusted,emotions,
écœuré,disgusted|sickened,emotions,
se sentir,to feel,emotions,
douter,to doubt,emotions,
hésiter,to hesitate,emotions,
regretter,to regret,emotions,
craindre,to fear,emotions,
souffrir,to suffer,emotions,
s'inquiéter,to be worried,emotions,
l'amour,love,emotions,
le doute,doubt,emotions,
l'hésitation,hesitation,emotions,
le regret,regret,emotions,
la crainte,fear,emotions,
la souffrance,suffering,emotions,
l'inquiétude,worry,emotions,
bonjour,hello,flashcards,
oui,yes,flashcards,
non,no,flashcards,
le chat,cat,flashcards,
le chien,dog,flashcards,
il est jeune,he is young,la description physique,
elle est jeune,she is young,la description physique,
il est âgé,he is old,la description physique,
il est vieux,he is old,la description physique,
elle est âgée,she is old,la description physique,
elle est vieille,she is old,la description physique,
il est beau,he is pretty,la description physique,
elle est belle,she is pretty,la description physique,
il est laid,he is ugly,la description physique,
il est moche,he is ugly,la description physique,
elle est laide,she is ugly,la description physique,
elle est moche,she is ugly,la description physique,
il est grand,he is tall,la description physique,
elle est grande,she is tall,la description physique,
il est petit,he is short,la description physique,
elle est petite,she is short,la description physique,
il est gros,he is fat,la description physique,
il est obèse,he is fat,la description physique,
elle est grosse,she is fat,la description physique,
elle est obèse,she is fat,la description physique,
il est mince,he is skinny,la description physique,
elle est mince,she is skinny,la description physique,
elle a des cheveux noirs,she has black hair,la description physique,
elle est brune,she is brunette,la description physique,
elle a des cheveux châtain,she has brown hair,la description physique,
elle a des cheveux blonds,she has blonde hair,la description physique,
elle est blonde,she is blonde,la description physique,
elle a des cheveux roux,she has red hair,la description physique,
elle est rousse,she is red,la description physique,
elle a des cheveux gris,she has grey hair,la description physique,
il a les cheveux blancs,he has white hair,la description physique,
elle a les cheveux longs,she has long hair,la description physique,
elle a les cheveux courts,she has short hair,la description physique,
elle a les cheveux raides,she has straight hair,la description physique,
elle a les cheveux frisés,she has curly hair,la description physique,
elle a les cheveux bouclés,she has curly hair,la description physique,
elle a les cheveux ondulés,she has wavy hair,la description physique,
elle a les cheveux crépus,she has afro hair,la description physique,
elle a des grand yeux,she has big eyes,la description physique,
il a des petits yeux,he has small eyes,la description physique,
elle a les yeux noirs,she has black eyes,la description physique,
elle a les yeux marron,she has brown eyes,la description physique,
elle a les yeux bleus,she has blue eyes,la description physique,
elle a les yeux verts,she has green eyes,la description physique,
il a une barbe,he has a beard,la description physique,
il est barbu,he is bearded,la description physique,
il a une moustache,he has a mustache,la description physique,
il est moustachu,he is mustached,la description physique,
il est chauve,he is shaven,la description physique,
il est tatoué,he is tattooed,la description physique,
la tête,head,le corps humain,
le visage,face,le corps humain,
le front,forehead,le corps humain,
la nuque,nape of the neck,le corps humain,
l'épaule,shoulder,le corps humain,
le bras,arm,le corps humain,
le coude,elbow,le corps humain,
le dos,back,le corps humain,
le doigt,finger,le corps humain,
la main,hand,le corps humain,
le ventre,stomach,le corps humain,
la jambe,leg,le corps humain,
le genou,knee,le corps humain,
le pied,foot,le corps humain,
les fesses,buttocks,le corps humain,
la cheville,ankle,le corps humain,
les cheveux,hair,le corps humain,
l'œil,eye,le corps humain,
les yeux,eyes,le corps humain,
l'oreille,ear,le corps humain,
le nez,nose,le corps humain,
les dents,teeth,le corps humain,
la bouche,mouth,le corps humain,
le cou,neck,le corps humain,
la langue,tongue,le corps humain,
lundi,monday,les jours de la semaine,
mardi,tuesday,les jours de la semaine,
mercredi,wednesday,les jours de la semaine,
jeudi,thursday,les jours de la semaine,
vendredi,friday,les jours de la semaine,
samedi,saturday,les jours de la semaine,
dimanche,sunday,les jours de la semaine,
aujourd’hui,today,les jours de la semaine,
hier,yesterday,les jours de la semaine,
demain,tomorrow,les jours de la semaine,
la banque,bank,les lieux publics,
le bar,bar,les lieux publics,
la bibliothèque,library,les lieux publics,
la bijouterie,jeweller`s shop,les lieux publics,
la boucherie,butcher`s shop,les lieux publics,
la boulangerie,baker`s shop,les lieux publics,
la cinéma,movie theater,les lieux publics,
la clinique,private hospital,les lieux publics,
le poste de police,police station,les lieux publics,
l`école primaire,primary school,les lieux publics,
le supermarché,supermarket,les lieux publics,
le fleuriste,florist`s shop,les lieux publics,
la gare,train station,les lieux publics,
l`hôpital,hospital,les lieux publics,
l`hôtel,hotel,les lieux publics,
le parc,park,les lieux publics,
la librairie,bookstore,les lieux publics,
le lycée,high school,les lieux publics,
la mairie,city hall,les lieux publics,
le musée,museum,les lieux publics,
l`office de tourisme,tourist office,les lieux publics,
la pharmacie,drugstore,les lieux publics,
la poissonnerie,fish shop,les lieux publics,
la poste,post office,les lieux publics,
le restaurant,restaurant,les lieux publics,
le salon de coiffure,hairdressing salon,les lieux publics,
l’université,university,les lieux publics,
un anorak,raincoat,les vêtements,
un pantalon,pants,les vêtements,
un tee-shirt,T-shirt,les vêtements,
des chaussettes,socks,les vêtements,
une chemise,shirt,les vêtements,
une veste,jacket,les vêtements,
des baskets,sneakers,les vêtements,
une robe,dress,les vêtements,
des chaussures,shoes,les vêtements,
des lunettes de soleil,sunglasses,les vêtements,
une crème solaire,suncreen,les vêtements,
une trousse de toilette,toiletry bag,les vêtements,
un slip,panties,les vêtements,
une colette,panties,les vêtements,
un soutien-gorge,bra,les vêtements,
une écharpe,scarf,les vêtements,
un pull,pullover,les vêtements,
des sandales,sandals,les vêtements,
un maillot de bain,swimsuit,les vêtements,
un bonnet,hat,les vêtements,
une casquette,cap,les vêtements,
un sweet,sweatshirt,les vêtements,
un short,shorts,les vêtements,
une jupe,skirt,les vêtements,
une tuque,hat,les vêtements,
une culotte,women`s panties,les vêtements,
un boxer,men`s underwear,les vêtements,
un blouson,jacket,les vêtements,
un manteau,coat,les vêtements,
un haut,top,les vêtements,
un costume,suit,les vêtements,
une cravate,tie,les vêtements,
un noeud papillon,bow tie,les vêtements,
un tailleur,lady’s suit,les vêtements,
un uniforme,uniform,les vêtements,
un gilet,waistcoat|vest,les vêtements,
un cardigan,cardigan,les vêtements,
un maillot,vest|undershirt,les vêtements,
un caleçon,boxer shorts|shorts,les vêtements,
un gant,gloves,les vêtements,
une chausette,a sock,les vêtements,
une chaussure,a shoe,les vêtements,
une botte,boot,les vêtements,
une sandale,a sandal,les vêtements,
une culotte,panties,les vêtements,
un boxer,underwear,les vêtements,
un gilet,waistcoat,les vêtements,
un maillot,undershirt,les vêtements,
un caleçon,boxer shorts,les vêtements,
une ferme,a farm,les_meilleurs_amis,f
une sœur,a sister,les_meilleurs_amis,f
un frère,a brother,les_meilleurs_amis,m
se soucier,to worry,les_meilleurs_amis,
la nourriture,food,les_meilleurs_amis,f
une aile,a wing,les_meilleurs_amis,f
un canard,a duck,les_meilleurs_amis,m
sauvage,wild,les_meilleurs_amis,
envier,to envy,les_meilleurs_amis,
voler,to fly,les_meilleurs_amis,
apprendre,to learn,les_meilleurs_amis,
les rudiments,the basics,les_meilleurs_amis,m
oser,to dare,les_meilleurs_amis,
s'envoler,to fly away,les_meilleurs_amis,
une merveille,a marvel,les_meilleurs_amis,f
d'aussi haut,from so high,les_meilleurs_amis,
l'amitié,friendship,les_meilleurs_amis,f
en pleurs,in tears,les_meilleurs_amis,
sangloter,to sob,les_meilleurs_amis,
le sud,the south,les_meilleurs_amis,m
à chaudes larmes,crying bitterly,les_meilleurs_amis,
se promettre,to promise each other,les_meilleurs_amis,
le chagrin,grief,les_meilleurs_amis,m
seul,alone,les_meilleurs_amis,
une cascade,a waterfall,les_meilleurs_amis,f
un moulin,a mill,les_meilleurs_amis,m
un rocher,a rock,les_meilleurs_amis,m
un pont,a bridge,les_meilleurs_amis,m
tomber malade,to fall ill,les_meilleurs_amis,
s'inquiéter,to worry,les_meilleurs_amis,
manquer,to miss,les_meilleurs_amis,
rendre visite,to visit,les_meilleurs_amis,
soupirer,to sigh,les_meilleurs_amis,
balbutier,to stammer,les_meilleurs_amis,
un petit déjeuner,a breakfast,les_meilleurs_amis,m
une leçon,a lesson,les_meilleurs_amis,f
les dispositions,the aptitude,les_meilleurs_amis,f
le travail,the work,les_meilleurs_amis,m
un régime,a diet,les_meilleurs_amis,m
la gymnastique,gymnastics,les_meilleurs_amis,f
quotidien,daily|everyday,les_meilleurs_amis,
les gâteaux,the cakes,les_meilleurs_amis,m
inspirer,to breathe in,les_meilleurs_amis,
souffler,to breathe out,les_meilleurs_amis,
s'amuser,to have fun,les_meilleurs_amis,
convenablement,properly,les_meilleurs_amis,
quelque chose,something,les_meilleurs_amis,
s'apercevoir,to realize,les_meilleurs_amis,
au fond de lui,deep down,les_meilleurs_amis,
le printemps,spring,les_meilleurs_amis,m
une troupe,a troupe,les_meilleurs_amis,f
un exploit,a feat,les_meilleurs_amis,m
à travers,across,les_meilleurs_amis,
réuni,reunited,les_meilleurs_amis,
merveilleux,wonderful,les_meilleurs_amis,
Janvier,January,months,
Février,February,months,
Mars,March,months,
Avril,April,months,
Mai,May,months,
Juin,June,months,
Juillet,July,months,
Août,August,months,
Septembre,September,months,
Octobre,October,months,
Novembre,November,months,
Décembre,December,months,
à,to|at|in,prepositions,
à côte de,next to|beside,prepositions,
au sujet de,about|on the subject of,prepositions,
avant,before,prepositions,
chez,at the home of|office of|among,prepositions,
d’après,according to,prepositions,
de,from|of|about,prepositions,
depuis,since|for,prepositions,
devant,in front of,prepositions,
durant,during|while,prepositions,
en,in|on|to,prepositions,
en dehors de,outside,prepositions,
en face de,facing|across from,prepositions,
entre,between,prepositions,
environ,approximately,prepositions,
hors de,outside,prepositions,
jusque,until|up to|even,prepositions,
loin de,far from,prepositions,
nalgré,despite,prepositions,
promi,among,prepositions,
près de,near,prepositions,
quant à,as for|regarding,prepositions,
sans,without,prepositions,
selon,according to,prepositions,
suivant,according to,prepositions,
sur,on,prepositions,
vers,toward,prepositions,
d’habitude,usually,prepositions,
parfois,sometimes,prepositions,
de temps en temps,sometimes,prepositions,
quelquefois,sometimes,prepositions,
rarement,rarely,prepositions,
jamais,never,prepositions,
﻿Comment vous appelez-vous?,What's your name?,questions,
Comment allez-vous?,How are you?,questions,
Comment ça va?,How are you?,questions,
Comment ça s'écrit?,How do you spell that?,questions,
D'où venez-vous?,Where do you come from?,questions,
D'où viens-tu?,Where do you come from?,questions,
Quel âge avez-vous?,How old are you?,questions,
Qu'est-ce que vous étudiez?,What do you study?,questions,
Qu'est-ce que tu vas faire ce week-end?,What are you going to do this weekend?,questions,
Tu veux sortir avec nous ce soir?,Do you want to go out with us tonight?,questions,
À quelle heure commence le concert?,When does the concert start?,questions,
À quelle heure se termine le concert?,When does the concert end?,questions,
Qu'est-ce qui s'est passé?,What happened?,questions,
Quel est votre passe-temps préféré?,What is your hobby?,questions,
Quel est ton passe-temps préféré?,What is your hobby?,questions,
Parlez-vous anglais?,Do you speak English?,questions,
Quelle heure est-il?,What time is it?,questions,
À quelle heure part le train pour Marseille?,What time does the train depart for Marseille?,questions,
Quel temps fait-il aujourd'hui?,What's the weather like today?,questions,
Quel jour somme-nous?,What day is it?,questions,
Où se trouve…?,Where is…(specific thing) found?,questions,
Où est …?,Where is…?,questions,
Comment va-t-on à…?,How do I get to…?,questions,
Combien ça coûte?,How much does this cost?,questions,
Vous faites quoi comme métier?,What's your occupation?,questions,
Pouvez-vous traduire pour moi?,Can you translate for me?,questions,
Peux-tu m'expliquer en français?,Can you explain in French to me?,questions,
Peux-tu m'expliquer en anglais?,Can you explain in English to me?,questions,
