esprit,mind
derrière,behind
clair,clear
queue,tail
produire,produce
espace,space
entendu,heard
meilleur,best
heure,hour
mieux,better
vrai,TRUE
pendant,during
cent,hundred
cinq,five
rappeler,remember
étape,step
tôt,early
tenir,hold
ouest,west
sol,ground
intérêt,interest
atteindre,reach
verbe,verb
chanter,sing
écouter,listen
six,six
table,table
voyage,travel
moins,less
matin,morning
dix,ten
simple,simple
plusieurs,several
voyelle,vowel
guerre,war
poser,lay
contre,against
modèle,pattern
lent,slow
centre,center
amour,love
personne,person
argent,money
servir,serve
apparaître,appear
route,road
carte,map
pluie,rain
règle,rule
gouverner,govern
