jouer,play
petit,small
fin,"end, fine"
mettre,put
maison,"house, home"
lire,read
main,hand
port,port
grand,"large, big, great"
épeler,spell
ajouter,add
même,"even, same"
terre,"land, earth"
ici,here
tel,such
suivre,follow
faut,must
acte,act
pourquoi,why
interroger,ask
hommes,men
changement,change
allé,go
lumière,light
gentil,kind
besoin,need
image,picture
essayer,try
encore,"again, still, yet"
animal,animal
point,point
mère,mother
monde,world
près,near
construire,build
soi,self
père,father
tout,any
nouveau,new
travail,work
partie,part
prendre,take
obtenir,get
lieu,place
fabriqué,made
vivre,live
où,where
après,after
arrière,back
peu,"little, few"
seulement,only
tour,"round, turn, ride"
homme,man
année,year
montrer,show
tous,"every, all"
bon,good
moi,me
donner,give
notre,our
sous,under
nom,"name, noun"
très,very
juste,just
forme,"form, shape"
phrase,sentence
penser,think
aider,help
faible,low
ligne,line
différer,differ
cause,cause
beaucoup,"much, many"
signifier,mean
avant,"before, front"
déménagement,(house) move
droit,right
garçon,boy
vieux,old
trop,too
elle,she
là,there
quand,when
utiliser,use
votre,your
manière,way
sur,"on, about, over"
puis,then
les,them
écrire,write
voudrais,would
ces,these
