comme,"as, like"
je,I
son,"his, her, sound"
que,"that, what, than"
il,"he, it"
était,was
pour,for
sont,are
avec,with
ils,they
être,be
à,"at, to"
un,"one, a, an"
avoir,have
ce,this
partir,leave
par,"by, through"
chaud,"hot, warm"
mot,word
mais,but
certains,some
est,"is, east"
vous,you
ou,or
eu,"had, got"
la,the
de,"of, off"
et,and
dans,in
nous,"we, us"
boîte,"can, box"
dehors,out
autre,other
étaient,were
qui,"which, who"
faire,"do, make"
leur,their
temps,time
si,"if, so"
volonté,will
comment,how
chaque,each
dire,"tell, say"
ne,does
ensemble,"set, together, whole"
trois,three
vouloir,want
air,air
bien,well
aussi,also
