long,long
chose,thing
voir,see
lui,him
deux,two
a,has
regarder,"look, watch"
jour,day
pourrait,could
aller,go
venir,come
fait,"did, fact"
nombre,number
aucun,no
plus,"more, most"
personnes,people
ma,my
savoir,know
eau,water
appel,call
première,first
peut,may
vers,"toward, towards"
côté,side
été,"been, summer"
maintenant,now
trouver,find
tête,head
supporter,stand
propre,own
page,page
devrait,should
pays,country
trouvé,found
réponse,answer
école,school
croître,grow
étude,study
apprendre,learn
usine,factory
couvercle,cover
nourriture,food
soleil,sun
quatre,four
entre,"between, among"
état,state
garder,keep
œil,eye
jamais,"never, ever"
dernier,last
laisser,"let, leave"
pensée,thought
ville,"city, town"
arbre,tree
traverser,cross
ferme,farm
dur,hard
début,start
puissance,"might, power"
histoire,story
scie,saw
loin,far
mer,sea
tirer,"draw, pull"
gauche,left
tard,late
courir,run
presse,press
proche,close
nuit,night
réel,real
vie,life
nord,north
livre,"book, pound"
porter,carry
a pris,took
science,science
manger,eat
chambre,room
ami,friend
a commencé,began
idée,idea
poisson,fish
montagne,mountain
arrêtez,stop
base,base
entendre,hear
