se réveiller,to wake up
le matin,morning
se lever,to get up
s’habiller,to dress up
se brosser les dents,to brush the teeth
se laver le visage,to wash the face
prendre une douche,to take a shower
prendre le petit-déjeuner,to take the breakfast
L’après-midi,afternoon
aller au travail,to go to work
travailler,to work
déjeuner,to have lunch
dîner,to have lunch
prendre une pause,to take a break
faire une sieste,to do a nap
le soir,evening
faire du sport,to exercise
préparer le repas,to prepare the meal
manger,to eat
faire une promenade,to go for a walk
se promener,to walk
lire des livres,to read books
écouter de la musique,to listen to music
regardes des films ou des séries,to watch some movies or tv shows
voir des amis,to see some friends
aller au cinéma,to go to the cinema
jouer aux jeux vidéo,to play video games
lundi,monday
mardi,tuesday
mercredi,wednesday
jeudi,thursday
vendredi,friday
samedi,saturday
dimanche,sunday
aujourd’hui,today
hier,yesterday
demain,tomorrow
toujours,always
d’habitude,usually
souvent,often
parfois,sometimes
de temps en temps,sometimes
quelquefois,sometimes
rarement,rarely
jamais,never
